ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2001:da8:8000:e01f::149f,2001:bc8:32d7:16c::,50329,58091,TCP,...A....,0,0,1,110,0,0,45,44,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2400:89c0:1053:3::11,2403:d400:1001:3:8d48:495:32b0:b4a9,80,39308,TCP,...A....,0,0,1,74,0,0,44,45,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2403:d400:1001:4:f5af:4f3:fec8:7b70,2408:822e:bc82:3524:b91b:f749:dc97:c7d,54321,54109,TCP,...AP...,0,0,1,152,0,0,45,44,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2409:8a28:221e:45b0:282d:c564:1988:42ba,2403:d400:1001:20:48d5:20d8:c7f5:32ba,65515,54321,TCP,...A....,0,4,1,86,0,0,44,45,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2400:89c0:1132:158::58:1,2403:d400:1001:2:2191:90e8:f0e5:2a12,443,11214,TCP,...A....,0,0,1,1440,0,0,44,45,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:39:50,2019-11-25 15:40:00,10.000,2403:d400:1001:20:5137:4064:dbbe:bf49,240e:e0:6e21:6000:211:32ff:fe68:d588,58513,6690,TCP,...A....,0,0,3,4362,0,0,45,44,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2403:d400:1001:1:c938:daaa:8956:a190,2400:89c0:1132:158::26:1,63221,443,TCP,...A....,0,0,1,94,0,0,45,44,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,240e:e0:f09b:f938:deb:4200:21dd:f2dd,2001:da8:8000:1:0:2:2:48,44842,80,TCP,...A....,0,0,1,86,0,0,44,45,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:00,2019-11-25 15:40:00,0.000,2001:268:c073:2601:b0e1:7e49:1aef:4,2001:da8:8000:6023::230,45064,80,TCP,......S.,0,0,1,94,0,0,44,45,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
2019-11-25 15:40:01,2019-11-25 15:40:01,0.000,2408:80f0:4105:f:1a::,2403:d400:1001:20:e895:6683:929:10e2,443,37130,TCP,...A....,0,0,1,1294,0,0,44,45,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,1,1970-01-01 08:00:00.000
